iter	Logloss
0	0.6846745052
1	0.67461963
2	0.6649372301
3	0.6554195779
4	0.6466220262
5	5	0.636891235
6	0.6282533732
7	0.6189155579
8	0.6105676131
9	0.6027899222
10	0.5947411277
11	0.5873114846
12	0.5802284588
13	0.5717345151
14	0.5642466979
15	0.5575626113
16	0.5491633415
17	0.5413805355
18	0.5346130458
19	0.527684992
20	0.5213620012
21	0.5162167549
22	0.5096452886
23	0.5043323257
24	0.4976145137
25	0.4921494397
26	0.4863951423
27	0.4804018628
28	0.4742877267
29	0.4695815607
30	0.4635904919
31	0.4582362608
32	0.4533022534
33	0.4473650672
34	0.4420501102
35	0.4370058233
36	0.4314571294
37	0.4259134639
38	0.4221212647
39	0.4178048914
40	0.4140305953
41	0.4094217474
42	0.4045574015
43	0.4005226655
44	0.3957716768
45	0.3916053772
46	0.3875061382
47	0.3833847913
48	0.3791871938
49	0.3759680661
50	0.3729935993
51	0.3690820174
52	0.365281105
53	0.3615324714
54	0.3582001599
55	0.3545360565
556	0.3556102391
57	0.3524299143
58	0.349255781
59	0.3456031156
60	0.3419123559
61	0.3386079256
62	0.3354779481
63	0.3321737178
64	0.3292925716
65	0.3262685967
66	0.3229338687
67	0.3199655856
68	0.3168864473
69	0.3144176275
70	0.3120802739
71	0.3091880326
72	0.3067508166
73	0.3042077737
74	0.3013387899
75	0.2984544236
76	0.2957300016
77	0.2931636466
78	0.2904426223
79	0.28854643
80	0.2862221481
81	0.2836730971
82	0.2813835353
83	0.2799230854
84	0.2770897598
85	0.274921664
86	0.2726807602
87	0.2705882502
88	0.2682977008
89	0.2661435163
90	0.2638141715
91	0.2615689752
92	0.2596856104
93	0.2573291953
94	0.255376772
95	0.2534595769
96	0.2519244944
97	0.2497227402
98	0.2478191159
99	0.2462240221
100	0.2446366267
101	0.2430659088
102	0.2409833949
103	0.2392860375
104	0.2376525422
105	0.2355628146
106	0.2342290558
107	0.232402643
108	0.2310409859
109	0.229610179
110	0.2278467516
111	0.2262144461
112	0.2246149311
113	0.2233207736
114	0.22196436
115	0.2206748818
116	0.2189351386
117	0.2181038368
118	0.2164101291
119	0.2148377193
120	0.2134430529
121	0.2122796597
122	0.2106193461
123	0.2094611631
124	0.207991824
125	0.2067727103
126	0.2053116568
127	0.2040003149
128	0.2027997063
129	0.2013936807
130	0.1999586278
131	0.1984433727
132	0.1971417016
133	0.1962723061
134	0.1950129413
135	0.1935551452
136	0.1925481269
137	0.1912638218
138	0.1903210975
139	0.1892834109
140	0.1875939922
141	0.1861041415
142	0.1850119235
143	0.1839830526
144	0.182943689
145	0.1819338232
146	0.180917909
147	0.179708675
