iter	Passed	Remaining
0	180	180511
1	188	94044
2	196	65165
3	203	50624
4	211	42048
5	230	38225
6	240	34079
7	254	31544
8	301	33245
9	310	30700
10	317	28512
11	323	26602
12	336	25557
13	346	24375
14	353	23220
15	361	22209
16	380	21993
17	392	21413
18	400	20679
19	412	20214
20	421	19668
21	429	19108
22	441	18744
23	450	18303
24	456	17809
25	462	17315
26	467	16833
27	471	16376
28	475	15930
29	480	15540
30	485	15175
31	490	14823
32	497	14572
33	504	14328
34	511	14098
35	517	13857
36	522	13600
37	527	13364
38	533	13140
39	538	12935
40	544	12729
41	549	12531
42	555	12353
43	559	12155
44	564	11977
45	569	11811
46	574	11652
47	580	11505
48	585	11362
49	591	11245
50	597	11115
51	603	10995
52	608	10866
53	613	10747
54	618	10634
55	623	10512
56	645	10679
57	650	10558
58	657	10490
59	666	10440
60	671	10338
61	678	10271
62	684	10185
63	690	10102
64	696	10025
65	702	9940
66	710	9892
67	716	9816
68	724	9771
69	732	9731
70	738	9668
71	747	9638
72	754	9574
73	763	9554
74	778	9605
75	787	9573
76	798	9571
77	806	9529
78	813	9484
79	822	9454
80	827	9383
81	834	9344
82	840	9289
83	847	9240
84	854	9195
85	860	9143
86	867	9103
87	875	9075
88	882	9032
89	889	8992
90	897	8963
91	904	8923
92	910	8880
93	918	8848
94	923	8801
95	932	8777
96	939	8742
97	949	8743
98	956	8707
99	965	8687
100	971	8651
101	978	8618
102	985	8578
103	991	8541
104	997	8500
105	1003	8464
106	1009	8425
107	1015	8385
108	1021	8353
109	1028	8323
110	1036	8303
111	1043	8274
112	1049	8241
113	1057	8216
114	1063	8186
115	1069	8150
116	1076	8123
117	1079	8071
118	1089	8065
119	1096	8042
120	1103	8014
121	1109	7986
122	1117	7964
123	1122	7929
124	1130	7912
125	1138	78981126	1145	78731127	1154	7868
128	1162	7852
129	1172	7846
130	1181	7834
131	1192	7841
132	1208	7878
133	1220	7888
134	1237	7928
135	1251	7949
136	1263	7961
137	1277	7979
138	1286	7966
139	1301	7992
140	1321	8048
141	1326	8014
142	1332	7985
143	1337	7950
144	1342	7918
145	1348	7885
146	1353	7856
147	1357	7816
148	1364	7795
149	1374	7788
150	1382	7774
151	1390	7758
152	1397	7734
153	1405	7719
154	1411	7696
155	1418	7672
156	1424	7650
157	1430	7621
158	1437	7601
159	1444	7582
160	1450	7557
161	1457	7537
162	1464	7522
163	1470	7497
164	1477	7476
165	1483	7451
166	1488	7424
167	1493	7395
168	1498	7370
169	1505	7348
170	1510	7321
171	1516	7298
172	1525	7290
173	1529	7262
174	1535	7236
175	1542	7221
176	1548	7200
177	1553	7173
178	1560	7158
179	1566	7137
180	1572	7115
181	1578	7094
182	1583	7069
183	1588	7046
184	1595	7029
185	1602	7011
186	1607	6989
187	1614	6972
188	1620	6952
189	1626	6932
190	1630	6907
191	1636	6886
192	1641	6864
193	1647	6843
194	1652	6820
195	1657	6800
196	1665	6789
197	1672	6774
198	1678	6757
199	1684	6737
200	1690	6718
201	1695	6696
202	1699	6672
203	1704	6652
204	1710	6633
205	1716	6617
206	1723	6604
207	1729	6586
208	1735	6567
209	1740	6548
210	1746	6531
211	1752	6512
212	1757	6494
213	1762	6474
214	1767	6453
215	1772	6433
216	1777	6414
217	1782	6395
218	1788	6377
219	1793	6358
220	1798	6339
221	1804	6325
222	1811	6311
223	1817	6295
224	1823	6279
225	1829	6264
226	1834	6246
227	1841	6236
228	1848	6223
229	1853	6205
230	1859	6189
231	1864	6172
232	1869	6155
233	1875	6138
234	1880	6120
235	1884	6101
236	1889	6084
237	1894	6064
238	1899	6047
239	1905	6033
240	1910	6018
